File,Key,CultureInvariantString,Translation
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_21_Семен.json,58EEED514C26E727B1B0A1BF55F724E4,"""Но как можно себя так вести в подобной ситуации?!""","""我在这种情况下怎么能干得出来？"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_22_Семен.json,FE5D31074E8EB0DB56548FB55F1D2267,"""Я же должен бояться, шарахаться от каждого шороха, избегать любого контакта с потенциально враждебными существами.""","""我应该是被吓得听到一点细小的声音都会颤抖，并且避免和这些有危险可能性的生物过多接触。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_23_Семен.json,C6E639384FAB5F1B94EFBBB76D465E85,"""Все события прошедшего дня словно заволокло похмельной дымкой.""","""昨天的事变得有点模糊了，像是宿醉一样。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_24_Семен.json,6DFC173640594FA2FBD09E8C8A7D70BC,"""Это очень похоже на утро после хорошей пьянки: вчерашнее естественное, непредосудительное, в высшей степени нормальное поведение утром становится кошмаром, гротескной гравюрой из иллюстраций к «Божественной комедии».""","""这确实像是一个聚会之后的早晨，昨天看起来十分优雅的一切，今天都变成了如同《神曲》一样的鬼畜的画面。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_25_Семен.json,ADEF1BD042A4D03A3BCAE29F9FA13927,"""Да, всё именно так, однако прошлого уже не вернуть.""","""不过事情就是这个样子了。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_26_Семен.json,7D5BFD1846095791062DCBAB940D738F,"""Хотя, возможно, оценив обстановку, я действовал по ситуации.""","""我当时应该也是审时度势做出了正确的选择吧。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_27_Семен.json,88B261DF47A9AAAECC7FF9BD56514FC4,"""Я огляделся по сторонам, пытаясь понять, не забросило ли меня куда-нибудь ещё, но домик Ольги Дмитриевны выглядел так же, как и вчера.""(важное)","""我到处张望，观察自己是不是又被调包到别的地方了，不过这次我还是在这个房间里没有什么变化。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_28_Семен.json,048D718B486EE5C5F20D23A1227E40FE,"""Всё было как будто на своих местах, разве что на спинке кровати висела пионерская форма.""(важное)","""没有什么特别的事，除了床头的一件制服。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_29_Семен.json,2E81A32C41529CD899A225AC4D50D056,"""Я с недоверием покрутил её в руках, примерил и оделся.""(важное)","""我试探着折腾着穿上了这件衣服。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_30_Семен.json,EA05ED364EDDC0D7C4DC86978F1575B9,"""Всё равно это лучше, чем ходить в зимней одежде.""(важное)","""这总比穿着冬装走来走去的好。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_31_Семен.json,F979D63C45C9FE2E52094688914CDE76,"""Посмотреть бы теперь на себя – наверняка выгляжу как клоун!""(важное)","""真想看看自己现在是个什么德行，肯定像个小丑一样吧。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_48_Семен.json,35413D894099566D3C30C59D6F5E0706,"""К чёрту!""(важное)","""啊啊，见鬼去吧！""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_49_Семен.json,DC41074B4973B41A0790CC90101F2074,"""Вряд ли мой внешний вид влияет на что-то ещё.""(важное)","""我怀疑我的外表会不会造成什么影响。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_50_Семен.json,0763DC3C4849E620B397369AC2D5BB8C,"""Если верить часам, завтрак уже давно позади.""(важное)","""如果钟表没有在说谎的话，早饭早就结束了。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_51_Семен.json,2EFD78D742984B69B0A9C2874B16A20A,"""Ну ладно, попробую всё же в столовой что-нибудь найти.""(важное)","""好吧，我会想办法从食堂里弄点吃的。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_52_Семен.json,B64658A74F594997A4F54684EF06E1EC,"""Вчера же со Славей получилось.""(важное)","""昨天和斯拉维娅不就成功了吗？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\01_Утро_Домик\д2_53_Семен.json,19F20FA24C7BD3151AEAD4A4164AF535,"""От этих воспоминаний я невольно улыбнулся.""(важное)","""这段回忆让我不禁笑了起来。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_054_Семен.json,58D6A9CF4865C764094347ADBBD15038,"""На улице ярко светило солнце, дул лёгкий ветерок.""(важное)","""户外的阳光很足，有一点微风。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_055_Семен.json,25D106754ACACAF7C87FFB99C4A852D8,"""Прекрасный летний день.""(важное)","""一个美丽的夏日。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_056_Семен.json,6ACC002B4213E3752899A4872AE81B09,"""Я уже несколько лет не чувствовал себя по утрам так хорошо.""","""我已经好几年没有经历过这么舒服的早晨了。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_057_Семен.json,920DCB734038EA1486676A951A383034,"""Все проблемы на секунду улетели куда-то далеко, растворились в редких, цвета первого снега облаках.""","""所有的烦恼都烟消云散了。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_058_Семен.json,D853606A4CA6086B85D2038637A262F0,"""Вдруг передо мной словно из ниоткуда появилась Ольга Дмитриевна.""","""奥尔加·德米特里耶夫娜不知道从哪里出现在了我的面前。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_059_Ольга.json,B5C67F544FAF83E42EE9719627A86401,"Ольга Дмитриевна - ""Доброе утро, Семён!""","奥尔加·德米特里耶夫娜 - ""早上好，谢苗！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_060_Семен.json,320661B3486D2F608464B1B4DE6F1B43,"Семён - ""Доброе!""","谢苗 - ""早上好！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_061_Семен.json,F7FB02C54BACE0F1E6E82BB014BEDE54,"""Я улыбнулся, пытаясь всем своим видом показать, что несмотря ни на что утро моё было действительно добрым.""","""至少我的早晨是确实不错的，于是我也露出微笑。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_062_Ольга.json,8E8533EB4EF0CCEC0FE3C2B103EED7C2,"Ольга Дмитриевна - ""Ты только вчера приехал, так что будить я тебя не стала, но завтрак-то…""","奥尔加·德米特里耶夫娜 - ""你昨天才刚刚到，所以我没有叫醒你，不过早饭..."""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_063_Ольга.json,62E13AFD489CAAB1E553FD94E91FD960,"Ольга Дмитриевна - ""Хотя ладно! Вот, держи!""","奥尔加·德米特里耶夫娜 - ""没关系，来，拿着这个。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_064_Семен.json,3225029A43CCBD326B92D1AAC1064BC3,"""Она протянула мне бумажный свёрток.""","""她递给我纸里包着什么。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_065_Семен.json,F6915A2D46976FACB059568C04E8ECF6,"""Судя по масляным пятнам, внутри, скорее всего, бутерброды.""","""从油渍看上去，里边应该是个三明治之类的。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_066_Семен.json,8C35F6094206A59D8443B5B245F4AA35,"Семён - ""Ой, спасибо!""","谢苗 - ""哇，谢谢。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_067_Ольга.json,798298E8438949A216BECAA3EEE707B1,"Ольга Дмитриевна - ""А теперь марш умываться!""","奥尔加·德米特里耶夫娜 - ""去洗洗脸吧！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_068_Семен.json,A4F3324045DD32E6D1487A81DE6C052B,"""Я уже собирался уходить.""(важное)","""我准备离开。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_069_Ольга.json,B34AE50F44AA352A545F74BA4DA06D0C,"Ольга Дмитриевна - ""Сейчас, подожди.""","奥尔加·德米特里耶夫娜 - ""等一下。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_070_Семен.json,1EC7C28D468177A19D90D78E7F4FE9CE,"""Ольга Дмитриевна забежала в домик и, вернувшись, сунула мне небольшой пакетик.""(важное)","""奥尔加·德米特里耶夫娜冲进房间拿出来一个小包塞给我。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_071_Семен.json,00F618BB48C38AC604210584A7EDAE5F,"""Внутри оказались зубная щётка, мыло, небольшое полотенце и что-то ещё – я особо не всматривался.""","""我看到里面有牙刷、香皂、毛巾什么的，没细看。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_072_Ольга.json,4711751145514A0CA6C0638D9D25920F,"Ольга Дмитриевна - ""Пионер должен быть всегда чист и опрятен!""","奥尔加·德米特里耶夫娜 - ""少先队员应该保持自己仪表整洁。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_073_Ольга.json,DE1BB6254A898DA87E5DC78CFDF363D9,"Ольга Дмитриевна - ""Дай я тебе галстук правильно завяжу на первый раз, а то он болтается.","奥尔加·德米特里耶夫娜 - ""我来帮你系红领巾，你没有摆正，"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_074_Ольга.json,1C84D908411C17882A2F7982721DBCC8,"Ольга Дмитриевна - ""Потом научишься, сам будешь!""","奥尔加·德米特里耶夫娜 - ""学会之后你就要自己做了。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_075_Семен.json,77B965314DD4233EBD16468AB4AFEE8C,"Семён - ""А может, не надо? Я сейчас умываться иду.""","谢苗 - ""一定要这样吗，我正准备洗漱诶..."""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_077_Ольга.json,B32AA001403BBEE31F450A90A8DD4DE4,"Ольга Дмитриевна - ""Ладно, тогда потом.","奥尔加·德米特里耶夫娜 - ""好吧，那就等一会儿。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_078_Ольга.json,19D9056146BBFA794831DCA3FFE03D1A,"Ольга Дмитриевна - И не забудь про линейку.""","奥尔加·德米特里耶夫娜 - ""不要忘了到了时间去集合。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_079_Семен.json,02B0A9964BA6B0641D35A693E60164C2,"""Карандаши, ручки, линейки…","""集合？然后大家在一面墙前排排站..."""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_080_Семен.json,14A7E99C4361BFD60FBEF9BBAB8E2480,"Такие вещи не забываются!""","""这种东西我怎么会忘！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_081_Семен.json,D5FAAF0A4F45457CAA86DBBD8C3F4070,"Семён - ""Какую линейку?""","谢苗 - ""什么集合？"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_082_Ольга.json,AD6060A047366BF02CEEA3BA2E38BF77,"Ольга Дмитриевна - ""В смысле – какую линейку?!""","奥尔加·德米特里耶夫娜 - ""什么'什么集合'？！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_083_Семен.json,BF8E320D4FF4EDA7EFA01A9FBED547C3,"""Она нахмурилась.""","""她皱起了眉头。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_084_Ольга.json,58E78F124A0EE8C84451199D0A9136C6,"Ольга Дмитриевна - ""Сегодня же понедельник!""","奥尔加·德米特里耶夫娜 - ""今天是星期一。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_085_Семен.json,DF1CCA954DBF702FB3FE9FB7403220C6,"Странно, а по моим подсчётам – воскресенье…""","""奇怪，我如果没记错的话应该是周日才对..."""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_086_Семен.json,D357645A45125221C3453F96E8FE4C8C,"""Впрочем, смена дня недели – это ещё не самое страшное.""","""不过，换个日子也不算什么大事。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_087_Ольга.json,5106480A4B972B7DD0DE1BA60B3FEAB3,"Ольга Дмитриевна - ""Обычно у нас линейки рано утром, до завтрака, но сегодня понедельник, поэтому она будет в 12 часов.""","奥尔加·德米特里耶夫娜 - ""平常我们要在早饭之前集合，不过今天是星期一，我们要在12点集合。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_088_Ольга.json,2D06D11144B690561CC246830BD57C94,"Ольга Дмитриевна - ""Не опаздывай!""","奥尔加·德米特里耶夫娜 - ""别迟到！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_089_Семен.json,B7215FF4423C44E7F147EEA273AA99B9,"Семён - ""Хорошо. А где?""","谢苗 - ""好吧，可是在哪里呢？"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_090_Ольга.json,28AC345F4831DE4342B2A3BD3A7DFAE0,"Ольга Дмитриевна - ""На площади, где же ещё!""","奥尔加·德米特里耶夫娜 - ""在广场啊，还能是哪里？"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_091_Семен.json,00056C27456E595A37AAC3A2CE0767F0,"""Спорить было бессмысленно.""","""现在不应该吵架。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_092_Семен.json,131313CC459E61F307434B927EACA834,"""Я направился в сторону «помывочной».""(важное)","""我前往'水房'。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_093_Семен.json,23D6D09946CA5EDEFD812B8CA2B1A2A2,"""На отдельный душ и туалет рассчитывать не приходилось, но при виде этого выкидыша загнивающего социализма – причудливой черепашки с панцирем из жести, множеством ног-кранов и кафельным брюшком – мне стало несколько не по себе.""","""没有独立的卫生间什么的我还可以忍，可是这各种故障的苏联老水龙头实在是不能忍。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_094_Семен.json,9557627B4BFC13B9CAFD079F4219BFAC,"""Я не был брезгливым человеком, но тем не менее, стоя тут, понял, что всё же есть какой-то минимальный уровень привычного комфорта, без которого жить мне довольно проблематично.""","""我不是个斤斤计较的人，不过站在这里我才明白了这些道理。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_095_Семен.json,B348ADA0439CBEE5D71216A459B121A3,"""Вот ведь как бывает – когда теряешь вещи, которые всегда казались совершенно обыденными и естественными, понимаешь, что на самом деле они были незаменимы.""","""有些生活中的小东西平常不在意，需要的时候没有才是很烦恼的。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_096_Семен.json,9DE46D9A475F7C889C848885633889AE,"""А, да и чёрт с ним! Выбирать всё равно не из чего.""","""啊，不想了！好像我还有其他选择似的。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_097_Семен.json,AF27D30C44990C8E49A805A5EB28A471,"""Вода оказалась просто ледяной.""(важное)","""水很冰手。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_098_Семен.json,57A0D6064D710755B5B1D2AC309E7DA6,"""Если помыть руки не составило особого труда, то вот умыться или прополоскать рот ей – уже большая проблема.""(важное)","""洗洗手还行，可是其他的项目好像面临着一些问题。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_099_Семен.json,D220FE344B9E2BDEA6CAD9860D8B4FB4,"""В пакетике, который мне дала Ольга Дмитриевна, не нашлось зубной пасты.""","""奥尔加·德米特里耶夫娜给我的包里好像没有牙膏。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_100_Семен.json,A89A7F9F4DA6B0C8367871ADC1DD241E,"""Можно, конечно, было почистить зубы и так, но в полотенце была завернута какая-то кругленькая коробочка.""","""不用其实也可以，不过毛巾里包着一个小盒。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_101_Семен.json,B70CFE944301A5F44811A6A9C5F8CAE9,"""«Зубной порошок».""","""'牙粉'。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_102_Семен.json,93CF6747490F7891FD5555B6B02B1EA3,"""Прелестно! +1 за то, что я где-то в прошлом.""","""厉害，有一种怀旧的感觉。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_103_Семен.json,C3D6C8C041F05EC9A14364B4089FD702,"Умылся я довольно быстро, в том числе и из-за ледяной воды.""(важное)","""我很快就洗漱完毕，这要感谢刺骨的凉水。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_104_Семен.json,EA3B927045FFBD4A71D8DEA5C7EEAED7,"""Кто-то быстро шёл, даже бежал в мою сторону.""","""有人往这边跑过来。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_105_Семен.json,FBABEB794623030A223A53A596502E1A,"""Я обернулся.""","""我转过身。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_106_Семен.json,5D93B489409BC55A8CD8E5B384141F55,"""Передо мной стояла Славя в спортивном костюме.""","""是斯拉维娅，她穿着一身体操服。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_107_Семен.json,ADE8FF8F427055B95E4BF8B50DA05704,"""Похоже, эта девочка будет хорошо выглядеть абсолютно во всём – и в пионерской форме, и в купальнике, и, наверное, даже в космическом скафандре.""","""这个女孩儿真是穿什么都好看呀：少先队制服、泳装、甚至是宇航服。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_108_Славя.json,0233DBC14C32A0AC5AFDD8BA117D111A,"Славя - ""Физкульт-привет!""","斯拉维娅 - ""你好呀！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_109_Семен.json,97FEEBB144B050B988E5FD9651D3E17C,"Семён - ""Охай… То есть, бобр… Доброе утро! Вот…""","谢苗 - ""偶哈呦...不对，砸上好...早上好！对了..."""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_110_Семен.json,CEE2CB934EDD931ED8A5AC8FA79DB196,"""Приветствие мне удалось выбрать не сразу.""","""好流畅的对话。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_111_Славя.json,ADFF5A46455CE2B958F7BEBAF213126A,"Славя - ""Почему на завтрак не пришёл?""","斯拉维娅 - ""你怎么没来吃早饭？"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_112_Семен.json,22693D0846CEFEC005368A85315000E3,"Семён - ""Проспал.""","谢苗 - ""我睡过了。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_113_Семен.json,BC9A7303446D82485F67878CF53A18C9,"""Я сказал это так, словно гордился своим достижением.""","""我自豪地说道。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_114_Семен.json,6807D98C411BE54D9A59D49E628CA53A,"Семён - ""Но мне Ольга Дмитриевна бутерброды принесла.""","谢苗 - ""不过奥尔加·德米特里耶夫娜给了我一个三明治。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_115_Славя.json,39E9042048639DE3FAA6889AD8A4EBB3,"Славя - ""А, ну отлично тогда! Не забудь про линейку!""","斯拉维娅 - ""噢，那就好。别忘了去集合！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_116_Семен.json,0C4D1C064DDEB68D9828FBB7F881C0B4,"Семён - ""Да, конечно.""","谢苗 - ""啊，当然。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_117_Семен.json,B3164C924AE6686CC30BAAB595A1D9E2," ""Забудешь тут.""","""好像我会忘了似的。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_118_Славя.json,FD8E79E3428F774056875B86AFE4C67A,"Славя - ""Ладно, я побежала, не скучай!""","斯拉维娅 - ""不错，我得走了，你好好玩！"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_119_Семен.json,3E3F0F1C4329C399A82BCD978A156A12,"""Она помахала мне на прощание и скрылась за поворотом тропинки.""","""她挥手告别然后消失在了小路的转角处。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_120_Семен.json,11CB46454E9AB376E3C50DA5EC8C3F44,"""Судя по всему, линейка начнётся через пару минут.""","""看起来还有几分钟就要集合了。"""
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_121_Семен.json,AA76EBBD45E381492AB7C9999DFD9FC0,"""Стоило быстренько забежать «домой», закинуть пакетик с умывальными принадлежностями, съесть бутерброды и только уже потом идти на площадь.""(важное)","""我赶快回'家'放好我的洗漱包包同时吃掉三明治，然后就前往广场。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_122_Семен.json,7E9CEEBC4C898507187367BB1BBEA8DE,"""Я распахнул дверь домика вожатой и вбежал внутрь так, как будто запрыгивал в последний вагон уходящего поезда.""(важное)","""我一把推开房间大门冲了进去，就像是赶上末班车一样。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_123_Семен.json,08050D9B467AEA8C32E5DEA9D3F2FD10,"""Но, кажется, это было не лучшим решением – посреди комнаты стояла Ольга Дмитриевна…""(важное)","""我发现这可不是个好主意，因为我看见奥尔加·德米特里耶夫娜在里边...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_124_Семен.json,D7D64FF74EFB37CD4335C388155B5AE9,"""И переодевалась!""(важное)","""换衣服！""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_125_Семен.json,17D63E9B44E21277E923D891C44E05C8,"""Я застыл как вкопанный, стараясь даже не дышать.""(важное)","""我吓得怔住了，不敢喘气。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_2_день\02_Утро\д2_126_Семен.json,A76769964C834B69CC44088F96B048B7,"""Наконец вожатая заметила меня.""(важное)","""辅导员发现了我。""(важное)"
